"selection1_name","selection1_url","selection1_Price","selection1_Price_url"
"Kechaoda A27","https://www.flipkart.com/kechaoda-a27/p/itmfe39duawbf8e5?pid=MOBFE4D2CGKRMVVW&lid=LSTMOBFE4D2CGKRMVVWYFIHLK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_95&otracker=search&otracker1=search&fm=organic&iid=43404e50-25b7-4373-9f2d-0bc78dda3de4.MOBFE4D2CGKRMVVW.SEARCH&ppt=None&ppn=None&ssid=oqvx9hv6bk0000001777620099812&qH=eb4af0bf07c16429&ov_redirect=true","₹899","https://www.flipkart.com/kechaoda-a27/p/itmfe39duawbf8e5?pid=MOBFE4D2CGKRMVVW&lid=LSTMOBFE4D2CGKRMVVWYFIHLK&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_95&otracker=search&otracker1=search&fm=organic&iid=43404e50-25b7-4373-9f2d-0bc78dda3de4.MOBFE4D2CGKRMVVW.SEARCH&ppt=None&ppn=None&ssid=oqvx9hv6bk0000001777620099812&qH=eb4af0bf07c16429&ov_redirect=true"
"KARBONN K9 Jumbo,Dual Keypad Mobile,2.4 Big LCD,2MP Camera,1800mAh Battery,FM,Vibratore","https://www.flipkart.com/karbonn-k9-jumbo-dual-keypad-mobile-2-4-big-lcd-2mp-camera-1800mah-battery-fm-vibratore/p/itm3ff31178f348f?pid=MOBH6GZVNMW2UY3F&lid=LSTMOBH6GZVNMW2UY3FKESAN2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_96&otracker=search&otracker1=search&fm=organic&iid=43404e50-25b7-4373-9f2d-0bc78dda3de4.MOBH6GZVNMW2UY3F.SEARCH&ppt=None&ppn=None&ssid=oqvx9hv6bk0000001777620099812&qH=eb4af0bf07c16429&ov_redirect=true","₹1,496","https://www.flipkart.com/karbonn-k9-jumbo-dual-keypad-mobile-2-4-big-lcd-2mp-camera-1800mah-battery-fm-vibratore/p/itm3ff31178f348f?pid=MOBH6GZVNMW2UY3F&lid=LSTMOBH6GZVNMW2UY3FKESAN2&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_4_96&otracker=search&otracker1=search&fm=organic&iid=43404e50-25b7-4373-9f2d-0bc78dda3de4.MOBH6GZVNMW2UY3F.SEARCH&ppt=None&ppn=None&ssid=oqvx9hv6bk0000001777620099812&qH=eb4af0bf07c16429&ov_redirect=true"
"POCO C75 5G (Silver Stardust, 64 GB)","https://www.flipkart.com/poco-c75-5g-silver-stardust-64-gb/p/itm8e3f17ac2e724?pid=MOBH74433ZER9U4P&lid=LSTMOBH74433ZER9U4PIUMZCQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_97&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBH74433ZER9U4P.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true","₹10,999","https://www.flipkart.com/poco-c75-5g-silver-stardust-64-gb/p/itm8e3f17ac2e724?pid=MOBH74433ZER9U4P&lid=LSTMOBH74433ZER9U4PIUMZCQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_97&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBH74433ZER9U4P.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true"
"REDMI Note 14 SE 5G (Titan Black, 128 GB)","https://www.flipkart.com/redmi-note-14-se-5g-titan-black-128-gb/p/itmbbe0bfdee707d?pid=MOBHE48SMK9RUZHQ&lid=LSTMOBHE48SMK9RUZHQEJUO1P&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_98&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBHE48SMK9RUZHQ.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true","₹16,999","https://www.flipkart.com/redmi-note-14-se-5g-titan-black-128-gb/p/itmbbe0bfdee707d?pid=MOBHE48SMK9RUZHQ&lid=LSTMOBHE48SMK9RUZHQEJUO1P&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_98&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBHE48SMK9RUZHQ.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true"
"LAVA A3 Torch","https://www.flipkart.com/lava-a3-torch/p/itmdf5e9eeffd7ab?pid=MOBH5ZYHF9NCM3NB&lid=LSTMOBH5ZYHF9NCM3NBLMXOCG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_99&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBH5ZYHF9NCM3NB.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true","₹1,341","https://www.flipkart.com/lava-a3-torch/p/itmdf5e9eeffd7ab?pid=MOBH5ZYHF9NCM3NB&lid=LSTMOBH5ZYHF9NCM3NBLMXOCG&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_99&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBH5ZYHF9NCM3NB.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true"
"REDMI Note 15 SE 5G (Frosted White, 128 GB)","https://www.flipkart.com/redmi-note-15-se-5g-frosted-white-128-gb/p/itme790d8c8f675b?pid=MOBHHAFAYA6UYMB9&lid=LSTMOBHHAFAYA6UYMB9P8KIMQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_100&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBHHAFAYA6UYMB9.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true","₹19,999","https://www.flipkart.com/redmi-note-15-se-5g-frosted-white-128-gb/p/itme790d8c8f675b?pid=MOBHHAFAYA6UYMB9&lid=LSTMOBHHAFAYA6UYMB9P8KIMQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_100&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBHHAFAYA6UYMB9.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true"
"Apple iPhone 17 (Black, 256 GB)","https://www.flipkart.com/apple-iphone-17-black-256-gb/p/itm6eb39da622cdd?pid=MOBHFN6YN2HXB5HE&lid=LSTMOBHFN6YN2HXB5HER9QXGU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_101&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBHFN6YN2HXB5HE.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true","₹82,900","https://www.flipkart.com/apple-iphone-17-black-256-gb/p/itm6eb39da622cdd?pid=MOBHFN6YN2HXB5HE&lid=LSTMOBHFN6YN2HXB5HER9QXGU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_101&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBHFN6YN2HXB5HE.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true"
"LAVA A7 Torch+","https://www.flipkart.com/lava-a7-torch/p/itm9b1e7a0319be6?pid=MOBGT96PUCU4ESGQ&lid=LSTMOBGT96PUCU4ESGQCMK7LH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_102&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBGT96PUCU4ESGQ.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true","₹1,589","https://www.flipkart.com/lava-a7-torch/p/itm9b1e7a0319be6?pid=MOBGT96PUCU4ESGQ&lid=LSTMOBGT96PUCU4ESGQCMK7LH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_102&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBGT96PUCU4ESGQ.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true"
"Nokia 106 Single Sim Keypad Phone with Built-in UPI App, MP3 Player","https://www.flipkart.com/nokia-106-single-sim-keypad-phone-built-in-upi-app-mp3-player/p/itm5486a2da326c2?pid=MOBGRH6YNYVBQJSR&lid=LSTMOBGRH6YNYVBQJSRBOSRZ8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_103&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBGRH6YNYVBQJSR.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true","₹1,304","https://www.flipkart.com/nokia-106-single-sim-keypad-phone-built-in-upi-app-mp3-player/p/itm5486a2da326c2?pid=MOBGRH6YNYVBQJSR&lid=LSTMOBGRH6YNYVBQJSRBOSRZ8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_103&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBGRH6YNYVBQJSR.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true"
"MOTOROLA g06 power (Pantone Tendril, 64 GB)","https://www.flipkart.com/motorola-g06-power-pantone-tendril-64-gb/p/itm042f1f6d04b3a?pid=MOBHFSCEDQXXDXUQ&lid=LSTMOBHFSCEDQXXDXUQ5OORZ3&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_104&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBHFSCEDQXXDXUQ.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true","₹9,999","https://www.flipkart.com/motorola-g06-power-pantone-tendril-64-gb/p/itm042f1f6d04b3a?pid=MOBHFSCEDQXXDXUQ&lid=LSTMOBHFSCEDQXXDXUQ5OORZ3&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_5_104&otracker=search&otracker1=search&fm=organic&iid=cc1c702b-85e3-45a8-bb7e-bd9da99c7608.MOBHFSCEDQXXDXUQ.SEARCH&ppt=None&ppn=None&ssid=zeim0lk1mo0000001777620111914&qH=eb4af0bf07c16429&ov_redirect=true"
