Title,css146c3p1,cssg5y9jx_divcontainsclass_cssg5y9jx,cssg5y9jx,cssg5y9jx1,cssg5y9jx2,cssg5y9jx3,css146c3p14
Good,4,,4,Nice product,Review for: Color Mosaic Blue • RAM 4 GB • Storage 128 GB,Mayank Yadav, · 1 month ago
It is a budget phone and best for students,5,,5,Great product,Review for: Color Mosaic Green • RAM 4 GB • Storage 128 GB,, · 26 days ago
Build quality design battery health is very good. Camera and performance was medium. Value for money product so much,5,,5,Classy product,Review for: Color Mosaic Blue • RAM 4 GB • Storage 64 GB,, · 1 month ago
"14k Best Mobile in india 🫡🇮🇳
Battery ✅
Camera ✅
Display ✅
Profamence ✅
Price ✅",5,,5,Worth every penny,Review for: Color Mosaic Green • RAM 4 GB • Storage 128 GB,Abutaher Khan, · 1 month ago
Camera could be better in this price range,4,,4,Really Nice,Review for: Color Mosaic Blue • RAM 4 GB • Storage 64 GB,Tapan kumar Jena, · 1 month ago
Very good,5,,5,Worth every penny,Review for: Color Mosaic Blue • RAM 4 GB • Storage 64 GB,Raghunath  Arukh, · 1 month ago
"Good colling chamber in it not getting hot quickly.
And also it's ram management is good it keeps 7 to 8 apps in ram like games and full charging takes 3 hours to stop battery getting hot and degradat...",5,,5,Best in the market!,Review for: Color Mosaic Green • RAM 4 GB • Storage 64 GB,Naveen  Kumar , · 22 days ago
Very slow,3,,3,Does the job,Review for: Color Mosaic Blue • RAM 4 GB • Storage 128 GB,vinay mittal, · 1 month ago
Super,5,,5,Perfect product!,Review for: Color Mosaic Green • RAM 4 GB • Storage 64 GB,Flipkart Customer, · 20 days ago
Phone looks so beautiful,5,,5,Classy product,Review for: Color Crimson Reserve • RAM 6 GB • Storage 128 GB,Dipendu Samanta, · 1 month ago
4.4 ratings for me .Check this camera samples. Like,5,,5,Excellent,Review for: Color Crimson Reserve • RAM 6 GB • Storage 128 GB,, · 1 month ago
"In times of price hike, this mobile is insane with a great processor, great camera, and premium look. If you want great mobile below 20k, then just blindly go with it.",5,,5,Mind-blowing purchase,Review for: Color Carbon Black • RAM 6 GB • Storage 128 GB,, · 1 month ago
Good phone good price and red colour is very beautiful 😍 and update increase ofter one of good ui and single good,4,,4,Wonderful,Review for: Color Crimson Reserve • RAM 6 GB • Storage 128 GB,Aeshala Srikanth, · 1 month ago
Nice product with valuable price 😀,5,,5,Highly recommended,Review for: Color Crimson Reserve • RAM 6 GB • Storage 128 GB,RAJAT BABU, · 1 month ago
Good Mobile,4,,4,Pretty good,Review for: Color Carbon Black • RAM 6 GB • Storage 128 GB,Sanjay Kumar Sharma, · 1 month ago
"The camera needs to be improved and may be required for a software update, also application management is very poor It takes all phone storage till 50 GB cover with a normal app. Please push updates t...",4,,4,Nice product,Review for: Color Crimson Reserve • RAM 6 GB • Storage 128 GB,Amar Kumar, · 1 month ago
"Honestly the display is the biggest highlight of this phone. It is super bright, very smooth and easily the best you will get in this price range. I have not seen any other phone offering this kind of...",5,,5,Classy product,Review for: Color Crimson Reserve • RAM 6 GB • Storage 128 GB,, · 1 month ago
Design is good,3,,3,Decent product,Review for: Color Frosted White • RAM 6 GB • Storage 128 GB,Flipkart Customer, · 1 month ago
Vallue for money,5,,5,Fabulous!,Review for: Color Frosted White • RAM 6 GB • Storage 128 GB,Puneet Mall, · 17 days ago
Awsome.,5,,5,Worth every penny,Review for: Color Green • RAM 32 MB,Basava Basavaraja," · Nov, 2024"
Good,5,,5,Terrific,Review for: Color Yellow • RAM 32 MB,AaLekh  Thakur," · Oct, 2024"
"Super product.long life battery.4 sim spot 
Dubble antinna.big Spicer sound. Long time battery life 🧬.  Love 💕 u ringme company 
Super hero 🎩 product",5,,5,Fabulous!,Review for: Color Green • RAM 32 MB,Parveen  Sharma ," · Dec, 2024"
Best item,4,,4,Good choice,Review for: Color Black • RAM 32 MB,Flipkart Customer, · 4 months ago
Good product,4,,4,Nice product,Review for: Color Green • RAM 32 MB,Madina infocome  Digital point ," · Dec, 2024"
Battery backup just wow nice phone and future mobile in this bugate,5,,5,Highly recommended,Review for: Color Green • RAM 32 MB,, · 2 months ago
It's good 👍🏻,5,,5,Awesome,Review for: Color Yellow • RAM 32 MB,Flipkart Customer, · 3 months ago
Nice 👍👍 product,5,,5,Mind-blowing purchase,Review for: Color Yellow • RAM 32 MB,Abhishek Kumar Golu," · Jan, 2025"
Very nice looking this phone...😍,5,,5,Terrific,Review for: Color Black • RAM 32 MB,, · 4 months ago
Good,5,,5,Brilliant,Review for: Color Black • RAM 32 MB,Flipkart Customer, · 6 months ago
Please Support Indian brand,5,,5,Excellent,Review for: Color Pink • RAM 4 GB • Storage 64 GB,kishor  patidar, · 9 months ago
Best in budget 👍🏻,4,,4,Value-for-money,Review for: Color Blue • RAM 4 GB • Storage 64 GB,, · 10 months ago
Looks good,4,,4,Value-for-money,Review for: Color Blue • RAM 4 GB • Storage 64 GB,, · 10 months ago
Value for money. Nice phone. Everything is good.,5,,5,Great product,Review for: Color Black • RAM 4 GB • Storage 64 GB,, · 10 months ago
"Good product value money..✌️
Next quantum OS design same like realme ui
Best os, no unwanted ads, and bloating app.
Security best.No own file media app,vedio app, and song app",4,,4,Value-for-money,Review for: Color Purple • RAM 4 GB • Storage 64 GB,, · 9 months ago
Product is good for this Budget under 5k,5,,5,Wonderful,Review for: Color Blue • RAM 4 GB • Storage 64 GB,Mohamed  Shariff, · 10 months ago
Best phone 🔥💥,5,,5,Terrific purchase,Review for: Color Blue • RAM 4 GB • Storage 64 GB,, · 10 months ago
Initial impressions are good but need to check the durability and long term performance,4,,4,Pretty good,Review for: Color Blue • RAM 4 GB • Storage 64 GB,Ashish shaw, · 10 months ago
"Best Budget Beast Totally Worth It 

I have been using the AI+ Pulse for a while now, and I am genuinely surprised by the performance at this price. Smooth UI, quick app loading, and the display feels...",5,,5,Must buy!,Review for: Color Blue • RAM 4 GB • Storage 64 GB,Shaker Darvajala, · 10 months ago
Best smartphone in budget Best in camera Best in performance Made in India Proud India   you guys can also buy it,5,,5,Highly recommended,Review for: Color Blue • RAM 4 GB • Storage 64 GB,, · 10 months ago
"✔ Excellent value for money in this price range
✔ Smooth performance for daily use
✔ Good battery backup
✔ Impressive display and design

❌ Camera quality is average
❌ Slow charging (10W charger, arou...",4,,4,Good quality product,Review for: Color Black • RAM 4 GB • Storage 64 GB,Hayatullah, · 2 months ago
Good mobile,5,,5,Highly recommended,Review for: Color Black • RAM 4 GB • Storage 64 GB,Flipkart Customer, · 2 months ago
Very good phone,5,,5,Great product,Review for: Color Black • RAM 4 GB • Storage 64 GB,Subhankar sarkar, · 2 months ago
"Its some how good for the Prize, but it is of big in size and sometimes i fill laggy. Battery performance is very good and can able to use it for daily tusks but it takes some times to charge. Thanks ...",5,,5,Perfect product!,Review for: Color Black • RAM 4 GB • Storage 64 GB,, · 2 months ago
Product is good at this price point. Camera average and performance is just ok. Battery too good because display average quality. This phone is perfect for aged person. But big blow for only 10 watt a...,4,,4,Pretty good,Review for: Color Black • RAM 4 GB • Storage 64 GB,Anupam Kushari, · 1 month ago
"What a mobile at this range only 5749
Ai+ gives superb features amazingly 
Nice budget phone for my Papa",5,,5,Simply awesome,Review for: Color Black • RAM 4 GB • Storage 64 GB,Amit Upadhyay, · 2 months ago
"Thank You So Much Madhav Sheth Sir for making such a good affordable phones for us!
Ai+ Pulse 2 is a fantastic smartphone power packed with all advance features.
Delivery Partner is also very nice and...",5,,5,Super!,Review for: Color Black • RAM 4 GB • Storage 64 GB,Prashant Tripathi, · 2 months ago
Best hai 👍👍,5,,5,Delightful,Review for: Color Black • RAM 4 GB • Storage 64 GB,, · 2 months ago
Good for normal us,5,,5,Terrific purchase,Review for: Color Blue • RAM 4 GB • Storage 64 GB,, · 2 months ago
Good phone at this price range.,5,,5,Must buy!,Review for: Color Black • RAM 4 GB • Storage 64 GB,, · 2 months ago
